,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),DefaultData,ComplianceStatus,Outlier,TotalGHGEmissions,Multifamily Housing,Supermarket/Grocery Store,Other - Restaurant/Bar,Single Family Home,Outpatient Rehabilitation/Physical Therapy,Self-Storage Facility,Convenience Store without Gas Station,Bank Branch,Other - Public Services,Other - Technology/Science,Adult Education,"Repair Services (Vehicle, Shoe, Locksmith, etc)",Fast Food Restaurant,Urgent Care/Clinic/Other Outpatient,Other - Lodging/Residential,Courthouse,Lifestyle Center,Parking,Other,Residence Hall/Dormitory,Performing Arts,Movie Theater,Enclosed Mall,Restaurant,Other/Specialty Hospital,Non-Refrigerated Warehouse,nan,Fire Station,Refrigerated Warehouse,Other - Education,Senior Care Community,Medical Office,Laboratory,Pre-school/Daycare,Vocational School,Museum,Distribution Center,Hotel,Strip Mall,Worship Facility,Vocat,Data Center,Library,Food Sales,Prison/Incarceration,Financial Office,Bar/Nightclub,Swimming Pool,College/University,Other - Services,Residential Care Facility,Other - Recreation,Office,Police Station,Other - Utility,K-12 School,Other - Entertainment/Public Assembly,Automobile Dealership,Fitness Center/Health Club/Gym,Food Service,Manufacturing/Industrial Plant,"Personal Services (Health/Beauty, Dry Cleaning, etc)",Retail Store,Other - Mall,Social/Meeting Hall,Convention Center,Wholesale Club/Supercenter,Hospital (General Medical & Surgical),outlier,pct_LargestPropertyUseTypeGFA,pct_SecondLargestPropertyUseTypeGFA,pct_ThirdLargestPropertyUseTypeGFA,LargestPropertyUseType_SiteEnergyUseWN(kBtu),LargestPropertyUseType_Electricity(kBtu),LargestPropertyUseType_NaturalGas(kBtu),LargestPropertyUseType_TotalGHGEmissions,LargestPropertyUseType_pct_Electricity(kBtu),LargestPropertyUseType_pct_NaturalGas(kBtu),SecondLargestPropertyUseType_SiteEnergyUseWN(kBtu),SecondLargestPropertyUseType_Electricity(kBtu),SecondLargestPropertyUseType_NaturalGas(kBtu),SecondLargestPropertyUseType_TotalGHGEmissions,SecondLargestPropertyUseType_pct_Electricity(kBtu),SecondLargestPropertyUseType_pct_NaturalGas(kBtu),ThirdLargestPropertyUseType_SiteEnergyUseWN(kBtu),ThirdLargestPropertyUseType_Electricity(kBtu),ThirdLargestPropertyUseType_NaturalGas(kBtu),ThirdLargestPropertyUseType_TotalGHGEmissions,ThirdLargestPropertyUseType_pct_Electricity(kBtu),ThirdLargestPropertyUseType_pct_NaturalGas(kBtu),BuildingType_SiteEnergyUseWN(kBtu),BuildingType_Electricity(kBtu),BuildingType_NaturalGas(kBtu),BuildingType_TotalGHGEmissions,BuildingType_pct_Electricity(kBtu),BuildingType_pct_NaturalGas(kBtu),LargestPropertyUseType_SiteEnergyUseWN(kBtu)^1xBuildingType_SiteEnergyUseWN(kBtu)^1,LargestPropertyUseType_SiteEnergyUseWN(kBtu)^1xSecondLargestPropertyUseType_SiteEnergyUseWN(kBtu)^1,LargestPropertyUseType_SiteEnergyUseWN(kBtu)^1xThirdLargestPropertyUseType_SiteEnergyUseWN(kBtu)^1,LargestPropertyUseType_SiteEnergyUseWN(kBtu)^1xLargestPropertyUseType_TotalGHGEmissions^1,LargestPropertyUseType_SiteEnergyUseWN(kBtu)^1xBuildingType_TotalGHGEmissions^1,LargestPropertyUseType_SiteEnergyUseWN(kBtu)^1xSecondLargestPropertyUseType_TotalGHGEmissions^1,LargestPropertyUseType_SiteEnergyUseWN(kBtu)^1xThirdLargestPropertyUseType_TotalGHGEmissions^1,BuildingType_SiteEnergyUseWN(kBtu)^1xSecondLargestPropertyUseType_SiteEnergyUseWN(kBtu)^1,BuildingType_SiteEnergyUseWN(kBtu)^1xThirdLargestPropertyUseType_SiteEnergyUseWN(kBtu)^1,BuildingType_SiteEnergyUseWN(kBtu)^1xLargestPropertyUseType_TotalGHGEmissions^1,BuildingType_SiteEnergyUseWN(kBtu)^1xBuildingType_TotalGHGEmissions^1,BuildingType_SiteEnergyUseWN(kBtu)^1xSecondLargestPropertyUseType_TotalGHGEmissions^1,BuildingType_SiteEnergyUseWN(kBtu)^1xThirdLargestPropertyUseType_TotalGHGEmissions^1,SecondLargestPropertyUseType_SiteEnergyUseWN(kBtu)^1xThirdLargestPropertyUseType_SiteEnergyUseWN(kBtu)^1,SecondLargestPropertyUseType_SiteEnergyUseWN(kBtu)^1xLargestPropertyUseType_TotalGHGEmissions^1,SecondLargestPropertyUseType_SiteEnergyUseWN(kBtu)^1xBuildingType_TotalGHGEmissions^1,SecondLargestPropertyUseType_SiteEnergyUseWN(kBtu)^1xSecondLargestPropertyUseType_TotalGHGEmissions^1,SecondLargestPropertyUseType_SiteEnergyUseWN(kBtu)^1xThirdLargestPropertyUseType_TotalGHGEmissions^1,ThirdLargestPropertyUseType_SiteEnergyUseWN(kBtu)^1xLargestPropertyUseType_TotalGHGEmissions^1,ThirdLargestPropertyUseType_SiteEnergyUseWN(kBtu)^1xBuildingType_TotalGHGEmissions^1,ThirdLargestPropertyUseType_SiteEnergyUseWN(kBtu)^1xSecondLargestPropertyUseType_TotalGHGEmissions^1,ThirdLargestPropertyUseType_SiteEnergyUseWN(kBtu)^1xThirdLargestPropertyUseType_TotalGHGEmissions^1,LargestPropertyUseType_TotalGHGEmissions^1xBuildingType_TotalGHGEmissions^1,LargestPropertyUseType_TotalGHGEmissions^1xSecondLargestPropertyUseType_TotalGHGEmissions^1,LargestPropertyUseType_TotalGHGEmissions^1xThirdLargestPropertyUseType_TotalGHGEmissions^1,BuildingType_TotalGHGEmissions^1xSecondLargestPropertyUseType_TotalGHGEmissions^1,BuildingType_TotalGHGEmissions^1xThirdLargestPropertyUseType_TotalGHGEmissions^1,SecondLargestPropertyUseType_TotalGHGEmissions^1xThirdLargestPropertyUseType_TotalGHGEmissions^1
0,2015.0,NonResidential,Hospital,1,SOUTHWEST,47.58730129,-122.3866765,1961.0,1.0,3.0,54863.0,8230.0,46633.0,Hospital (General Medical & Surgical),109726.0,0,0.0,0,0.0,100.0,2057288.0,No,Compliant,non identifié comme outlier,14.340000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2.0,0.0,0.0,144563486.09615386,71671248.61538461,47442226.23076923,4914.331538461538,0.5648224927026444,0.3364436741578255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7834139.812121039,5471288.173865698,1663159.263520871,163.8363266787659,0.7171151940112505,0.2629793029697545,1132530561804885.2,0.0,0.0,710432899032.2749,23684750533.870693,0.0,0.0,0.0,0.0,38499560355.42357,1283516689.505788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805146.0273431467,0.0,0.0,0.0,0.0,0.0
1,2016.0,NonResidential,Hospital,4,NORTHEAST,47.66231,-122.28146,1953.0,6.0,10.0,879000.0,0.0,879000.0,Hospital (General Medical & Surgical),879000.0,0,0.0,0,0.0,10.0,257764208.0,False,Compliant,non identifié comme outlier,8145.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1,1.0,0.0,0.0,144563486.09615386,71671248.61538461,47442226.23076923,4914.331538461538,0.5648224927026444,0.3364436741578255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7834139.812121039,5471288.173865698,1663159.263520871,163.8363266787659,0.7171151940112505,0.2629793029697545,1132530561804885.2,0.0,0.0,710432899032.2749,23684750533.870693,0.0,0.0,0.0,0.0,38499560355.42357,1283516689.505788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805146.0273431467,0.0,0.0,0.0,0.0,0.0
2,2016.0,NonResidential,Hospital,3,EAST,47.60986,-122.32774,1920.0,1.0,8.0,374466.0,0.0,374466.0,Hospital (General Medical & Surgical),1010135.0,0,0.0,0,0.0,74.0,167207104.0,False,Compliant,non identifié comme outlier,6330.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2.697534622635967,0.0,0.0,144563486.09615386,71671248.61538461,47442226.23076923,4914.331538461538,0.5648224927026444,0.3364436741578255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7834139.812121039,5471288.173865698,1663159.263520871,163.8363266787659,0.7171151940112505,0.2629793029697545,1132530561804885.2,0.0,0.0,710432899032.2749,23684750533.870693,0.0,0.0,0.0,0.0,38499560355.42357,1283516689.505788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805146.0273431467,0.0,0.0,0.0,0.0,0.0
3,2016.0,NonResidential,Hospital,1,SOUTHWEST,47.58767,-122.38672,1961.0,0.0,3.0,54863.0,0.0,54863.0,Hospital (General Medical & Surgical),109726.0,0,0.0,0,0.0,100.0,2066851.25,False,Compliant,non identifié comme outlier,14.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2.0,0.0,0.0,144563486.09615386,71671248.61538461,47442226.23076923,4914.331538461538,0.5648224927026444,0.3364436741578255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7834139.812121039,5471288.173865698,1663159.263520871,163.8363266787659,0.7171151940112505,0.2629793029697545,1132530561804885.2,0.0,0.0,710432899032.2749,23684750533.870693,0.0,0.0,0.0,0.0,38499560355.42357,1283516689.505788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805146.0273431467,0.0,0.0,0.0,0.0,0.0
4,2015.0,NonResidential,Hospital,4,NORTHEAST,47.66139776,-122.2846958,2013.0,1.0,8.0,330000.0,0.0,330000.0,Hospital (General Medical & Surgical),241500.0,0,0.0,0,0.0,83.0,48729588.0,No,Compliant,non identifié comme outlier,1457.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.7318181818181818,0.0,0.0,144563486.09615386,71671248.61538461,47442226.23076923,4914.331538461538,0.5648224927026444,0.3364436741578255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7834139.812121039,5471288.173865698,1663159.263520871,163.8363266787659,0.7171151940112505,0.2629793029697545,1132530561804885.2,0.0,0.0,710432899032.2749,23684750533.870693,0.0,0.0,0.0,0.0,38499560355.42357,1283516689.505788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805146.0273431467,0.0,0.0,0.0,0.0,0.0
5,2016.0,NonResidential,Hospital,3,EAST,47.608951,-122.322402,1994.0,7.0,14.0,1765970.0,0.0,1765970.0,Hospital (General Medical & Surgical),1639334.0,Parking,441551.0,0,0.0,54.0,295929888.0,False,Compliant,non identifié comme outlier,12307.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1,0.9282909675702306,0.2500331262705482,0.0,144563486.09615386,71671248.61538461,47442226.23076923,4914.331538461538,0.5648224927026444,0.3364436741578255,12512561.12698399,8505302.55324074,2313602.986111111,295.34363425925926,0.7770975531301773,0.1985497425453371,0.0,0.0,0.0,0.0,0.0,0.0,7834139.812121039,5471288.173865698,1663159.263520871,163.8363266787659,0.7171151940112505,0.2629793029697545,1132530561804885.2,1808859456508025.5,0.0,710432899032.2749,23684750533.870693,42695905364.82597,0.0,98025153276503.38,0.0,38499560355.42357,1283516689.505788,2313763323.406978,0.0,0.0,61490873773.265274,2050012052.3885763,3695505277.134585,0.0,0.0,0.0,0.0,0.0,805146.0273431467,1451416.5365241275,0.0,48388.016144993955,0.0,0.0
6,2016.0,NonResidential,Hospital,6,BALLARD,47.66737,-122.37956,1954.0,4.0,5.0,285333.0,0.0,285333.0,Hospital (General Medical & Surgical),302661.0,Parking,148865.0,0,0.0,14.0,47602720.0,False,Compliant,non identifié comme outlier,1990.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1,1.0607290429077605,0.5217237403314724,0.0,144563486.09615386,71671248.61538461,47442226.23076923,4914.331538461538,0.5648224927026444,0.3364436741578255,12512561.12698399,8505302.55324074,2313602.986111111,295.34363425925926,0.7770975531301773,0.1985497425453371,0.0,0.0,0.0,0.0,0.0,0.0,7834139.812121039,5471288.173865698,1663159.263520871,163.8363266787659,0.7171151940112505,0.2629793029697545,1132530561804885.2,1808859456508025.5,0.0,710432899032.2749,23684750533.870693,42695905364.82597,0.0,98025153276503.38,0.0,38499560355.42357,1283516689.505788,2313763323.406978,0.0,0.0,61490873773.265274,2050012052.3885763,3695505277.134585,0.0,0.0,0.0,0.0,0.0,805146.0273431467,1451416.5365241275,0.0,48388.016144993955,0.0,0.0
7,2016.0,NonResidential,Hospital,4,NORTHEAST,47.66201,-122.28386,2013.0,1.0,8.0,330000.0,0.0,330000.0,Hospital (General Medical & Surgical),241500.0,0,0.0,0,0.0,58.0,57764408.00000001,False,Compliant,non identifié comme outlier,1789.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.7318181818181818,0.0,0.0,144563486.09615386,71671248.61538461,47442226.23076923,4914.331538461538,0.5648224927026444,0.3364436741578255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7834139.812121039,5471288.173865698,1663159.263520871,163.8363266787659,0.7171151940112505,0.2629793029697545,1132530561804885.2,0.0,0.0,710432899032.2749,23684750533.870693,0.0,0.0,0.0,0.0,38499560355.42357,1283516689.505788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805146.0273431467,0.0,0.0,0.0,0.0,0.0
8,2015.0,NonResidential,Hospital,5,NORTHWEST,47.71460657,-122.3368526,1966.0,1.0,1.0,415632.00000000006,0.0,415632.0,Hospital (General Medical & Surgical),483520.0,Parking,266833.0,0,0.0,88.0,95443368.0,No,Compliant,non identifié comme outlier,3044.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1,1.163336797936636,0.6419933980059283,0.0,144563486.09615386,71671248.61538461,47442226.23076923,4914.331538461538,0.5648224927026444,0.3364436741578255,12512561.12698399,8505302.55324074,2313602.986111111,295.34363425925926,0.7770975531301773,0.1985497425453371,0.0,0.0,0.0,0.0,0.0,0.0,7834139.812121039,5471288.173865698,1663159.263520871,163.8363266787659,0.7171151940112505,0.2629793029697545,1132530561804885.2,1808859456508025.5,0.0,710432899032.2749,23684750533.870693,42695905364.82597,0.0,98025153276503.38,0.0,38499560355.42357,1283516689.505788,2313763323.406978,0.0,0.0,61490873773.265274,2050012052.3885763,3695505277.134585,0.0,0.0,0.0,0.0,0.0,805146.0273431467,1451416.5365241275,0.0,48388.016144993955,0.0,0.0
9,2015.0,NonResidential,Hospital,3,CENTRAL,47.60710663,-122.3107827,1990.0,1.0,5.0,597519.0,0.0,597519.0,Hospital (General Medical & Surgical),601615.0,Parking,48607.0,0,0.0,45.0,142494256.0,No,Compliant,non identifié comme outlier,4725.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1,1.0068550121418731,0.0813480408154385,0.0,144563486.09615386,71671248.61538461,47442226.23076923,4914.331538461538,0.5648224927026444,0.3364436741578255,12512561.12698399,8505302.55324074,2313602.986111111,295.34363425925926,0.7770975531301773,0.1985497425453371,0.0,0.0,0.0,0.0,0.0,0.0,7834139.812121039,5471288.173865698,1663159.263520871,163.8363266787659,0.7171151940112505,0.2629793029697545,1132530561804885.2,1808859456508025.5,0.0,710432899032.2749,23684750533.870693,42695905364.82597,0.0,98025153276503.38,0.0,38499560355.42357,1283516689.505788,2313763323.406978,0.0,0.0,61490873773.265274,2050012052.3885763,3695505277.134585,0.0,0.0,0.0,0.0,0.0,805146.0273431467,1451416.5365241275,0.0,48388.016144993955,0.0,0.0
